id,addresses,addresses_extra,names,risks,risk_count
9ff52fdb-c9d0-4f40-b34b-187804b0b42f,"['13.54.222.56', '13.55.140.143']",[],"['TAGMANAGER.JNJ.COM', 'AU.PLATFORMSH.SITE', 'EC2-13-54-222-56.AP-SOUTHEAST-2.COMPUTE.AMAZONAWS.COM', 'EC2-13-55-140-143.AP-SOUTHEAST-2.COMPUTE.AMAZONAWS.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
ce8a764a-fcbc-47a9-b0bc-889ef66523ac,"['104.18.35.124', '172.64.152.132']",[],"['A1ADS.JNJ.COM', 'STG.A1ADS.JNJ.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
8a75f506-d2f3-470c-a591-dc20889930b8,"['104.18.35.124', '172.64.152.132']",[],"['A1ADS.JNJ.COM', 'STG.A1ADS.JNJ.COM']","['Authenticated Web Services', 'Services with Soon to Expire TLS Certificates']",2
ff5f4ec9-e27a-4f71-988d-b16af9fe04f3,"['104.18.36.59', '172.64.151.197']",[],['BUSINESSCONNECT-QA.JNJ.COM'],['Authenticated Web Services'],1
d4d7cf4a-b963-4cab-ae1a-34cb6cb02786,['172.64.144.153'],[],"['WWW.LENS.JNJ.COM', 'STAGE-TOTALITYGATEWAY.JNJ.COM']",['Authenticated Web Services'],1
bdabb964-e38a-4116-9c58-d48b9b0226d3,"['104.18.36.59', '172.64.151.197']",[],['BUSINESSCONNECT-QA.JNJ.COM'],['Authenticated Web Services'],1
ccb5ac9b-4949-425f-9fec-e4325d1836ef,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']",['Authenticated Web Services'],1
748a1ad2-b04f-4d66-a916-064edfbaf8c1,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
2c7e883e-2591-4532-a6e1-6512753b32d3,['104.18.43.103'],[],"['STAGE-TOTALITYGATEWAY.JNJ.COM', 'WWW.LENS.JNJ.COM']",['Authenticated Web Services'],1
efb67de0-fe94-4697-8910-d29dd0453b04,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
